name,bounding_box,landmarks
Unknown,"(157, 253, 338, 473)","(216, 299); (261, 217); (283, 341); (343, 403); (440, 440)"
Unknown,"(165, 249, 331, 454)","(221, 295); (263, 218); (280, 321); (329, 379); (412, 418)"
Unknown,"(162, 241, 338, 448)","(220, 300); (263, 218); (281, 322); (329, 382); (415, 421)"
Unknown,"(169, 254, 334, 456)","(228, 304); (275, 228); (292, 325); (328, 382); (413, 417)"
GiaBao,"(170, 250, 337, 459)","(229, 306); (272, 226); (287, 325); (332, 380); (415, 420)"
Unknown,"(162, 248, 326, 453)","(212, 288); (246, 209); (271, 322); (331, 374); (408, 416)"
Unknown,"(157, 239, 313, 436)","(201, 275); (234, 202); (262, 311); (318, 363); (396, 401)"
Unknown,"(143, 221, 305, 427)","(188, 263); (226, 191); (254, 300); (303, 351); (384, 387)"
Unknown,"(152, 213, 323, 418)","(203, 280); (242, 204); (269, 294); (298, 344); (381, 384)"
Unknown,"(181, 222, 345, 428)","(236, 313); (281, 237); (302, 294); (298, 345); (382, 385)"
Unknown,"(193, 213, 362, 430)","(254, 331); (300, 255); (317, 293); (301, 345); (387, 392)"
Unknown,"(185, 210, 361, 427)","(249, 328); (296, 250); (313, 291); (295, 340); (380, 383)"
Unknown,"(168, 206, 334, 417)","(221, 299); (265, 225); (289, 280); (282, 330); (372, 374)"
Unknown,"(159, 203, 321, 411)","(210, 286); (250, 213); (276, 277); (279, 322); (365, 368)"
Unknown,"(158, 202, 318, 412)","(204, 279); (239, 205); (269, 279); (282, 324); (366, 368)"
Unknown,"(153, 207, 315, 416)","(197, 271); (228, 200); (260, 283); (286, 331); (370, 373)"
Unknown,"(156, 208, 316, 414)","(198, 272); (229, 202); (262, 284); (287, 331); (371, 373)"
Unknown,"(157, 214, 325, 416)","(200, 277); (232, 202); (268, 290); (292, 333); (373, 376)"
Unknown,"(156, 214, 315, 417)","(202, 275); (236, 206); (267, 288); (290, 334); (373, 375)"
Unknown,"(162, 206, 323, 418)","(208, 284); (243, 210); (274, 285); (287, 331); (371, 373)"
Unknown,"(164, 203, 327, 413)","(213, 289); (250, 217); (279, 281); (282, 327); (368, 369)"
Unknown,"(169, 203, 331, 412)","(216, 292); (251, 217); (280, 280); (285, 328); (367, 370)"
Unknown,"(167, 205, 332, 414)","(218, 294); (258, 221); (284, 281); (283, 325); (367, 370)"
Unknown,"(166, 202, 332, 410)","(215, 293); (259, 221); (288, 276); (276, 323); (365, 365)"
Unknown,"(166, 203, 334, 415)","(215, 292); (258, 221); (287, 277); (277, 322); (365, 366)"
Unknown,"(169, 206, 334, 414)","(218, 293); (259, 224); (287, 282); (281, 324); (367, 368)"
Unknown,"(168, 206, 335, 416)","(219, 295); (258, 221); (285, 282); (284, 325); (365, 367)"
Unknown,"(168, 202, 330, 414)","(215, 290); (251, 219); (280, 281); (283, 328); (368, 369)"
Unknown,"(169, 205, 329, 411)","(215, 291); (252, 219); (280, 282); (284, 327); (367, 369)"
Unknown,"(162, 209, 330, 423)","(214, 293); (258, 219); (284, 285); (287, 334); (377, 378)"
Unknown,"(168, 200, 340, 419)","(216, 295); (253, 217); (282, 286); (286, 337); (378, 379)"
Unknown,"(165, 202, 331, 417)","(214, 293); (253, 217); (280, 283); (286, 332); (372, 374)"
Unknown,"(180, 203, 341, 404)","(234, 309); (276, 238); (301, 275); (277, 318); (359, 362)"
Unknown,"(190, 199, 353, 400)","(240, 314); (281, 246); (308, 274); (273, 317); (358, 358)"
Unknown,"(196, 197, 356, 401)","(248, 323); (290, 253); (315, 272); (271, 313); (356, 356)"
Unknown,"(193, 190, 351, 388)","(240, 312); (277, 245); (305, 264); (264, 305); (346, 347)"
